bucket,observations,avg_range_points,median_range_points,avg_abs_close_to_open_points,median_abs_close_to_open_points,avg_volume
423,2172,3.2981,2.0,1.7289,0.75,106.64
424,2172,3.2741,2.0,1.6769,0.75,107.82
425,2172,3.5037,2.25,1.7291,1.0,118.91
426,2171,3.3128,2.0,1.7347,1.0,103.62
427,2171,3.1576,2.0,1.6035,0.75,96.86
428,2171,3.0479,2.0,1.5755,0.75,95.62
429,2171,3.1096,2.0,1.6535,0.75,96.38
430,2170,3.3612,2.25,1.6063,1.0,109.81
431,2170,3.0636,2.0,1.5942,0.75,94.33
432,2169,2.957,2.0,1.4962,0.75,90.52
433,2167,2.9382,2.0,1.5125,0.75,92.89
434,2153,3.5276,2.5,1.6983,1.0,121.11
435,1257,4.6323,3.5,2.1627,1.5,172.68
436,1257,3.8471,2.75,1.895,1.0,121.96
437,1257,3.7657,2.5,1.9306,1.0,112.98
438,1257,3.6698,2.5,1.8558,1.0,108.92
439,1257,3.9228,3.0,2.1396,1.25,129.15
440,1257,4.218,3.0,2.1609,1.25,136.19
441,1257,3.6535,2.5,1.8932,1.0,106.93
442,1257,3.5205,2.25,1.8661,1.0,99.55
443,1257,3.5537,2.25,1.8518,1.0,103.06
444,1257,3.8158,2.5,2.0006,1.25,118.35
445,1257,4.143,3.0,1.9185,1.25,133.85
446,1257,3.5076,2.5,1.8916,1.25,98.69
447,1257,3.7635,2.5,1.9761,1.25,106.88
448,1257,3.8775,2.75,1.9692,1.25,114.81
449,1255,4.7371,3.75,2.3066,1.5,165.8
450,12,14.3333,9.25,7.5,3.5,1676.58
451,12,9.7917,10.0,3.7292,3.625,1272.25
452,12,10.9167,8.875,3.4583,1.75,1182.42
453,12,9.2292,8.125,2.8542,1.125,976.83
454,12,12.5208,9.125,7.8958,2.375,1020.5
455,12,11.8333,11.5,5.4792,3.5,1276.42
456,12,10.9375,9.75,3.0208,0.625,1113.08
457,12,10.3958,8.125,6.4792,4.125,899.5
458,12,9.0,7.375,3.9167,1.75,1030.83
459,12,11.5208,13.25,7.1458,5.375,1339.92
460,12,12.25,11.25,5.3333,4.25,1206.17
461,12,12.0,11.75,5.9375,2.25,1337.17
462,12,13.1875,11.25,7.2708,6.0,1270.0
463,12,9.0625,7.0,3.1667,1.25,1102.42
464,12,12.6875,9.875,6.5833,2.125,1388.0
465,12,10.3125,10.625,5.375,2.875,1498.25
466,12,10.5625,9.25,3.1667,3.125,1155.33
467,12,13.5833,8.375,7.9583,3.375,1137.5
468,12,9.7292,8.5,3.4167,2.375,1111.0
469,12,11.5833,9.5,7.0625,3.0,1122.25
470,12,14.9583,8.5,8.0208,2.25,1295.42
471,12,12.4583,9.75,7.3958,3.875,1388.33
472,12,13.0833,8.625,8.0,2.875,1589.83
473,12,11.0833,9.125,5.2917,3.375,1326.75
474,12,9.6667,7.125,2.6458,2.25,1275.5
475,12,12.75,8.625,6.5833,2.625,1229.17
476,12,12.6458,11.125,7.2708,5.5,1413.0
477,12,10.1875,6.625,4.75,2.875,1085.17
478,12,11.875,8.875,8.4583,6.25,1257.83
479,12,11.7917,11.5,7.2083,4.25,1219.83
480,12,11.2917,7.625,7.1042,3.5,1435.75
481,12,11.0,10.5,5.3125,2.25,1195.92
482,12,12.1667,8.0,7.7292,2.375,1008.08
483,12,9.3125,8.625,3.75,1.875,901.92
484,12,8.2083,7.0,2.0208,1.875,780.5
485,12,9.8958,6.875,5.375,4.375,969.08
486,12,10.0833,6.25,4.9375,3.0,792.33
487,12,11.0,7.875,4.2708,2.5,956.0
488,12,8.9792,7.375,3.3542,1.75,917.08
489,12,9.0625,6.125,5.4583,2.625,824.33
490,12,9.9375,6.5,3.625,2.5,903.0
491,12,10.4792,5.0,6.8542,2.25,886.25
492,12,9.7708,7.625,3.8333,2.625,886.17
493,12,8.1042,7.125,3.2083,1.875,799.0
494,12,9.4375,8.25,4.0833,2.875,1035.33
495,12,9.6667,9.125,3.2083,3.125,875.25
496,12,9.2708,5.0,4.9792,1.625,738.42
497,12,8.4792,6.625,4.9583,4.25,863.67
498,12,12.1458,5.75,8.7917,3.125,874.5
499,12,10.3333,6.125,6.4375,2.375,988.83
500,12,8.6667,6.5,4.1458,2.25,971.17
501,12,13.0833,10.25,9.0833,6.75,1099.0
502,12,11.7083,8.125,6.1667,2.125,1305.25
503,12,12.1667,7.875,6.5208,3.5,1083.42
504,12,10.1458,5.625,6.3125,3.0,1011.08
505,12,7.9375,5.875,3.8333,2.5,760.92
506,12,10.6667,6.75,6.375,4.125,848.08
507,12,10.6875,7.0,7.5833,2.625,919.5
508,12,7.5417,7.0,3.0,0.625,947.0
509,12,9.2917,5.375,4.0208,3.125,976.42
