eval_mnq,funded_mnq,target,joint_payout_rate,avg_lifecycle_days,median_days_when_paid,avg_payout_when_paid,mean_net_252,median_net_252,p10_net_252,profit_prob_252,ruin_prob_252,mean_payouts_252,mean_net_60,profit_prob_60,any_payout_60,mean_net_90,profit_prob_90,any_payout_90,mean_net_180,profit_prob_180,any_payout_180
7,8,1500,0.17719167904903418,15.790490341753344,29,1588.7461433962435,2461.7868720000392,2250.0,-990,0.8333333333333334,0.11583333333333333,2.446,328.1912064000041,0.4083333333333333,0.4083333333333333,705.5876400000105,0.6305,0.6305,1721.4331968000267,0.8403333333333334,0.8606666666666667
7,8,2000,0.15601783060921248,16.749257057949478,33.0,1800.0,2213.895,2205.0,-990,0.8073333333333333,0.1475,1.9783333333333333,198.21,0.31266666666666665,0.31266666666666665,564.06,0.5313333333333333,0.5313333333333333,1519.545,0.8006666666666666,0.8071666666666667
7,10,500,0.1601040118870728,13.728083209509657,25,1168.2946357308488,1368.201461999976,1212.3629999999687,-990,0.7166666666666667,0.18183333333333335,2.508,178.05042599999572,0.4505,0.4625,382.5323819999924,0.5726666666666667,0.6518333333333334,970.2927959999828,0.6806666666666666,0.842
7,10,1000,0.14710252600297177,14.064635958395245,26.0,1357.2487272727153,1509.967727999974,1376.5049999999667,-990,0.7285,0.17716666666666667,2.2358333333333333,187.40036999999597,0.4115,0.4116666666666667,431.180987999992,0.5991666666666666,0.604,1058.2109999999816,0.7065,0.815
7,10,1500,0.1363298662704309,14.577637444279347,28,1592.9955858310461,1635.816623999969,1573.8839999999757,-990,0.714,0.1995,1.9501666666666666,144.75471299999646,0.33566666666666667,0.33566666666666667,417.09872699999136,0.5363333333333333,0.5363333333333333,1153.689956999978,0.747,0.7795
7,10,2000,0.1311292719167905,15.186478454680534,31,1800.0,1765.77,1890.0,-990,0.7328333333333333,0.2105,1.7673333333333334,142.155,0.301,0.301,452.085,0.5038333333333334,0.5038333333333334,1227.945,0.7455,0.7563333333333333
7,12,500,0.1549034175334324,13.571322436849925,25,1254.9147280575476,1496.5256675999847,1351.0655999999947,-990,0.7208333333333333,0.1835,2.4488333333333334,208.38538199999738,0.4445,0.4528333333333333,436.04505839999524,0.5901666666666666,0.6398333333333334,1065.046461599989,0.7018333333333333,0.8323333333333334
7,12,1000,0.14524517087667163,13.760772659732542,25,1388.3014956521668,1595.5744703999837,1458.2447999999845,-990,0.7306666666666667,0.1845,2.269833333333333,223.69375799999716,0.42533333333333334,0.4256666666666667,468.91795679999484,0.6066666666666667,0.6123333333333333,1129.5281615999884,0.7181666666666666,0.8136666666666666
7,12,1500,0.13595839524517087,14.158989598811292,26.0,1642.4790491803178,1798.1477459999808,1687.4675999999804,-990,0.7238333333333333,0.203,2.0086666666666666,219.17417279999742,0.3685,0.3685,513.4804571999944,0.5633333333333334,0.5633333333333334,1254.1820483999866,0.7545,0.7796666666666666
7,12,2000,0.12592867756315007,14.544576523031203,29,1800.0,1739.235,1800.0,-990,0.7198333333333333,0.22266666666666668,1.7776666666666667,147.27,0.308,0.308,451.965,0.5103333333333333,0.5103333333333333,1241.31,0.7388333333333333,0.7508333333333334
